followers,following,posts,engagement_rate,bio_length,has_profile_pic,username_digits,is_private,external_url,avg_likes,avg_comments,hashtags_count,account_age,spam_words,label
1000,955,32,0.52,53,1,3,0,0,104,7,10,1967,0,0
2740,533,286,2.57,44,1,0,0,0,222,11,8,554,0,0
159,98,13,0.8,0,1,1,1,0,12,0,17,2187,1,0
414,651,679,0.32,82,1,0,0,0,41,3,8,1179,0,0
151,126,6,0.59,0,1,0,1,0,9,0,13,110,1,0
669987,150,344,2218.5,81,1,0,0,1,37333,1768,14,196,0,0
122,177,16,0.34,50,1,0,0,0,8,0,10,1346,0,0
1078,76,33,7.0,0,1,0,0,0,62,2,19,758,1,0
1824,2713,72,0.34,71,1,0,0,0,167,5,10,627,0,0
12945,813,213,7.95,40,1,0,0,1,1117,31,2,424,0,0
9884,1173,648,4.21,54,1,0,0,0,913,18,4,2437,0,0
1188,365,76,1.62,54,1,0,0,1,56,1,3,460,0,0
945,583,298,0.81,0,1,0,0,1,85,5,17,170,1,0
12033,248,117,24.16,103,1,0,0,1,849,25,7,1183,0,0
1962,2701,487,0.36,98,1,0,0,1,126,9,6,1358,0,0
50374,900,254,27.95,46,1,0,0,0,3679,194,10,454,0,0
7007,289,59,12.08,0,1,0,0,0,389,14,2,2039,1,0
1128,694,1570,0.81,48,1,3,0,0,97,5,4,2393,0,0
34670,1878,378,9.23,63,1,0,0,1,3096,71,5,2497,0,0
2338,776,526,1.5,106,1,0,0,1,133,2,3,2271,0,0
3516,999,228,1.76,40,1,0,0,0,265,15,8,2364,0,0
1809,416,35,2.17,35,1,0,1,1,161,4,18,1584,0,0
427,470,281,0.45,30,1,0,0,0,21,0,7,1737,0,0
759,956,285,0.4,27,1,0,0,0,71,3,8,1009,0,0
15338538,61,148,123697.89,0,1,0,0,0,1558933,40422,1,1423,1,0
109,179,57,0.3,109,1,0,1,1,7,0,19,79,0,0
536,665,17,0.4,0,1,0,1,0,52,1,9,1634,1,0
121354,176,511,342.81,132,1,0,0,1,4452,288,18,1555,0,0
2284,130,230,8.72,126,1,0,0,1,121,3,15,1221,0,0
186,174,15,0.53,122,1,0,1,0,20,0,2,1976,0,0
